label,time_taken,cnt_approvals,age,sex,ethnicity,is_male
cedf215eb32fc90d85992c08cfc58943,501.0,449.0,31.0,Female,White,False
3b7aa9867f6ecf0c20d0ac3e42ff49ce,493.0,507.0,54.0,Female,White,False
8919659fff9a9397763b240835a2d346,499.0,72.0,28.0,Female,White,False
106694f3e30d716824b8fb66e38f942c,493.0,2363.0,22.0,Male,Mixed,True
2510c586c60a537a1796ddf8a733dd06,757.0,1023.0,64.0,Female,White,False
d96af445f9f6d8716ab8476d3110111e,526.0,2998.0,33.0,Male,White,True
5a29861f0bec4e71d38f31841b6f870a,521.0,1090.0,30.0,Female,White,False
10b3074914880e47017e84e410015fa4,2880.0,1943.0,54.0,Male,Black,True
0a9687f773def82fedc9ef6153c463a4,550.0,2406.0,35.0,Female,White,False
87ee76f187013b6a240ea643070061c2,841.0,422.0,53.0,Female,White,False
1700eb5c651b2e6468cd087595964109,483.0,453.0,35.0,Male,White,True
ac0f3274317ca574c12b1f7a67e4b010,2771.0,1943.0,63.0,Male,White,True
082f5dc00d61ba4f6e3fcedf9ed65a9d,1896.0,2277.0,55.0,Male,White,True
2b3367b9ca5cbea5f137a42860ad4ad8,499.0,5513.0,29.0,Male,White,True
78710acc2924550582e69c289b829cc8,923.0,1654.0,46.0,Male,White,True
1b887d466e8c0bf6547200c3c7b639df,683.0,4414.0,60.0,Male,White,True
36d6ce0d8e579779be2914652499152e,338.0,2541.0,20.0,Female,White,False
1119daf24f53389e9282e255859cb6f7,528.0,5411.0,57.0,Male,White,True
8bfb574c40d3b021dc2c1102ef18d3fe,525.0,8009.0,49.0,Female,White,False
36ecbdd40d42fe0c43141db7c39572c9,747.0,2282.0,52.0,Male,White,True
4160defb5eec1f7e14e3f00d448ff433,529.0,132.0,33.0,Female,White,False
ee4d446ba0b311c9bf2121cb5bf6da72,1403.0,3226.0,22.0,Male,Black,True
73ed943a582a2a8db5a030d24253b63f,505.0,2513.0,43.0,Female,White,False
fc064368ca0695ace47ab7f630dba930,467.0,310.0,30.0,Female,Black,False
3a8270e5d7ca218297302e03890d81b0,644.0,4265.0,37.0,Male,Black,True
597163c6e950cffdceb27ec6407beb33,391.0,5932.0,52.0,Male,White,True
65f4f1034338702942d612584a9572e2,569.0,1815.0,42.0,Female,Asian,False
