label,willingness_first_mover,willingness_second_mover,preferred_role
0b4cd31ea7723b8f6874f29101409e80,7.0,7.0,indifferent
45fb0ae89511a861e79c28d006080fdc,5.0,6.0,second_mover
25f32f57d154ec61956cf101c2edf806,7.0,7.0,indifferent
876281ead0f2202ba7713088bec35383,6.0,6.0,indifferent
959062c89e0c8c5b4f0a42b3e4ac5a79,6.0,6.0,indifferent
176f760ff7c698cbf90cfdbcb3f11634,5.0,6.0,second_mover
f3648d356b61a711700560b5c326a13a,7.0,7.0,indifferent
30d9574f2689e56e7a15f02205c648cc,2.0,7.0,second_mover
99e7b6ad42d1f8ad75c13042dc2cb36c,5.0,5.0,indifferent
61c62065fc76344af896794e490d5b0a,5.0,6.0,second_mover
15ce25f95f767b198e7ec3f27c3887c1,7.0,7.0,indifferent
842bb5e2f05cc4d3186820332364b221,3.0,5.0,second_mover
01952d06868c3a45c5bd98beeeb01b51,5.0,7.0,second_mover
61e1889116102c10fbd22116c8f8f557,5.0,6.0,second_mover
9638ef333ce1193d4b08c74f8321e99b,3.0,6.0,second_mover
1a9ff091e6491749896769b3ac10d60f,7.0,7.0,indifferent
40d9e4a4ab9e4927a130c5cfc2e15b5e,6.0,7.0,second_mover
a3a5a10a1bb18dae3abbe6b01ef4e968,7.0,7.0,indifferent
dd6f6a09372412b4846157475db2a83a,2.0,7.0,second_mover
38cc0d14f773f5ee0a380275ebc8be97,7.0,7.0,indifferent
6146599eba74356757eb424fa7a6f407,5.0,5.0,indifferent
138fa5c13c5beaec2c2fd7e50022b737,1.0,6.0,second_mover
0979c16b801379a13b8a02e8ded118fe,1.0,7.0,second_mover
13f971fdee7de9fc9373ddd6a1dea17d,6.0,7.0,second_mover
39244ff94723de31448ca211c7270d08,4.0,7.0,second_mover
18c35e5653480bdcca60e831f0c44ed6,5.0,4.0,first_mover
dfcd5e5be6dbff8d519dcd0059925555,7.0,1.0,first_mover
0a8e9fae9ca54b5dd31c6ad20eb8e1b2,5.0,6.0,second_mover
e62ba2b4ddd12fe9452d3146f3c84467,5.0,5.0,indifferent
13fe0fa81e636f8b8b60d22007125496,5.0,5.0,indifferent
5f1ec56055e6095ed23b23196a44f79a,7.0,7.0,indifferent
95d98b204ac54b908b8afa7ab9f9785c,6.0,7.0,second_mover
bf77aeec6c7c93f1189fb6a38ae51a8b,4.0,6.0,second_mover
3f69a82339b4ea101d7b71e4ce98b493,6.0,6.0,indifferent
a1c28c01580b722830e7a0c07808f0ff,2.0,6.0,second_mover
