label,time_taken,cnt_approvals,age,sex,ethnicity,is_male
b6cf2516d7a3f372abe40f11bf8ea367,819.0,3373.0,57.0,Female,White,False
767ef0be9d2d1e82bc33ec0f7e77c97e,1053.0,1683.0,35.0,Male,,True
56268867debe571fd275a9c00d92c2ff,1098.0,5239.0,46.0,Male,White,True
6f819c705e3d3635417c38e5bb0d3b5e,672.0,2529.0,35.0,Male,White,True
a9a0270d189127d8e5dadd879e1fca9c,959.0,1004.0,38.0,Male,Asian,True
b7d5f6d771742798bd91a134c5fadecb,897.0,1950.0,50.0,Female,White,False
0d8d5d67c37e5ee5fe22943fc7b639e9,861.0,3130.0,52.0,Male,White,True
e29eaa78441dd0c9d1ed5d7028e4d7ff,2601.0,3050.0,42.0,Female,White,False
85b63406959149f5043dc588f797bbe6,798.0,880.0,31.0,Male,,True
d66db1cfe40a951776624b53fbe9e166,1723.0,1862.0,36.0,Female,Other,False
0b88b2ee181c407afeba8c078dd34cd3,797.0,2668.0,46.0,Male,White,True
ff3f640273810207ef9f3f9f0f62987d,1150.0,2865.0,28.0,Male,White,True
9ac3a3ab6b02d41eaf63598ca63703f8,973.0,2074.0,35.0,Male,White,True
004b79daebbd2a963f108f283e06a43e,1765.0,2062.0,34.0,Male,White,True
d11ba0c4bd8547a27b316bcddb6ec865,1067.0,3704.0,51.0,Male,White,True
5f3a87bd2795440dc8c3eb7c1f4d2da6,894.0,4170.0,40.0,Female,White,False
b41404e7716a4b90d4b5fcac0b3819c4,654.0,3766.0,33.0,Male,White,True
c2f0f8bbcfaf125ca852743f4fa201d2,831.0,3423.0,33.0,Male,White,True
6684872a095b83f32f96c1592c9a9bee,2667.0,917.0,,Male,Black,True
4850c46e521d99e990a7d8865e6b762f,1726.0,1376.0,26.0,Male,White,True
0519eec4e11df6621c82eec94fa3ae84,1187.0,3398.0,40.0,Male,White,True
f3841d77b783c77040c3b7b6cbd737d4,1146.0,2083.0,24.0,Male,Mixed,True
2d8629af15b22992d2f0d51ea7c20919,502.0,19.0,29.0,Male,White,True
fe508c00c29a421abc24071ce715ee3f,1174.0,379.0,43.0,Male,White,True
951fa411a653e3112ae0fd8331830f89,701.0,1943.0,45.0,Female,White,False
bcf5ff3a8d3c9ba6515bf65618a6821e,1538.0,2462.0,38.0,Male,Mixed,True
a34c8de88e46379b339ecf7da6709dec,850.0,571.0,48.0,Female,White,False
e0625fa45858d3ff65fae606aab281aa,721.0,356.0,43.0,Male,White,True
2ea05704c9e1cf19854e2a96d10f422e,759.0,1324.0,41.0,Female,,False
9b3b7f4ede260d3bfcbc605892c92298,1697.0,120.0,56.0,Female,White,False
d3faa181f9e63a6434814c9e2bc0d79b,468.0,915.0,24.0,Female,White,False
1467077344331995596bd216883b236a,1695.0,4452.0,48.0,Male,White,True
d177638b3f38ca4b601508dbef7770f4,1324.0,3414.0,49.0,Female,White,False
b982c4c7422af827bea22135cb1d20e0,878.0,393.0,20.0,Female,Mixed,False
