Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63d956f2b7f9e68d1ef3198a,5ef4d8b87faaa00c0dea0c4e,APPROVED,2023-01-31T18:02:10.891000Z,2023-01-31T18:15:49.483000Z,2023-02-01T04:41:18.260000,2023-01-31T18:15:49.837158Z,819,C1MW0K8M,3373,57,Female,White,United States,United States,United States,English,No,Other
63d956f30cd8b52b2c4b6031,55b2d3f2fdf99b525bc839aa,APPROVED,2023-01-31T17:59:20.314000Z,2023-01-31T18:16:52.617000Z,2023-02-01T04:41:18.349000,2023-01-31T18:16:53.010463Z,1053,C1MW0K8M,1683,35,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63d956f4a0b4e7a4340b7932,5d42486206811e001ada5b4b,APPROVED,2023-01-31T17:59:22.754000Z,2023-01-31T18:17:40.212000Z,2023-02-01T04:41:18.438000,2023-01-31T18:17:40.586102Z,1098,C1MW0K8M,5239,46,Male,White,United States,United States,United States,English,No,Full-Time
63d956f57ca71c95e1a7aa67,55d35447da14d7000e95318f,APPROVED,2023-01-31T17:59:29.370000Z,2023-01-31T18:10:41.243000Z,2023-02-01T04:41:18.528000,2023-01-31T18:10:41.974118Z,672,C1MW0K8M,2529,35,Male,White,United States,United States,United States,English,No,Full-Time
63d956f60c7282d1f408a18f,5727e394c68b5a000e397d8c,APPROVED,2023-01-31T17:59:18.714000Z,2023-01-31T18:15:17.025000Z,2023-02-01T04:41:18.618000,2023-01-31T18:15:17.390032Z,959,C1MW0K8M,1004,38,Male,Asian,United States,United States,United States,English,No,Full-Time
63d956f76c2a55a3359a2938,5a78b8355292b800012284ca,APPROVED,2023-01-31T17:59:23.378000Z,2023-01-31T18:14:19.648000Z,2023-02-01T04:41:18.706000,2023-01-31T18:14:19.973860Z,897,C1MW0K8M,1950,50,Female,White,United States,United States,United States,English,No,Full-Time
63d956f81834071cbb9f1776,5ac4c721e1099600016a823b,APPROVED,2023-01-31T17:59:24.064000Z,2023-01-31T18:13:44.509000Z,2023-02-01T04:41:18.793000,2023-01-31T18:13:44.895643Z,861,C1MW0K8M,3130,52,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63d956f88407285dab7ff72e,5ba3b4b2509a380001bee71d,APPROVED,2023-01-31T17:59:20.097000Z,2023-01-31T18:42:41.082000Z,2023-02-01T04:41:18.883000,2023-01-31T18:42:42.282477Z,2601,C1MW0K8M,3050,42,Female,White,United States,United States,United States,English,No,Full-Time
63d956fa595dd2e59b89b038,56b43607c54e3c000d3c9b0b,APPROVED,2023-01-31T17:59:22.148000Z,2023-01-31T18:12:39.440000Z,2023-02-01T04:41:18.980000,2023-01-31T18:12:39.788980Z,798,C1MW0K8M,880,31,Male,DATA_EXPIRED,United States,United States,United States,English,No,Full-Time
63d956fc96563339ee05f1c5,55b42b7cfdf99b5244217cf4,APPROVED,2023-01-31T17:59:37.086000Z,2023-01-31T18:28:20.067000Z,2023-02-01T04:41:19.071000,2023-01-31T18:28:20.415812Z,1723,C1MW0K8M,1862,36,Female,Other,Peru,United States,United States,English,No,Full-Time
