participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,34j758f5,5727e394c68b5a000e397d8c,0,73,75,Thanks,MyPage,2023-01-31 17:59:22.408094,1,,,175.0,1,,0.0,0,1,1,jvmyo47k,,,,,0
2,daxp87gp,5ba3b4b2509a380001bee71d,0,73,75,Thanks,MyPage,2023-01-31 17:59:22.998181,1,,,100.0,2,,0.0,8,1,1,jvmyo47k,,,,,0
3,bekpgudg,55b2d3f2fdf99b525bc839aa,0,73,75,Thanks,MyPage,2023-01-31 17:59:23.764578,1,,,150.0,3,,0.0,4,1,1,jvmyo47k,,,,,0
4,ovxbp7kj,1Jg0O7j3126m959759qnn66Z,0,1,75,Consent_opaque,ConsentPage,2023-01-31 17:59:24.657098,1,,,0.0,4,,0.0,,1,1,jvmyo47k,,,,,0
5,vani32vp,56b43607c54e3c000d3c9b0b,0,73,75,Thanks,MyPage,2023-01-31 17:59:24.561343,1,,,75.0,5,,0.0,8,1,1,jvmyo47k,,,,,0
6,pv0a419g,5ac4c721e1099600016a823b,0,73,75,Thanks,MyPage,2023-01-31 17:59:26.681295,1,,,150.0,6,,0.0,8,1,1,jvmyo47k,,,,,0
7,o1gsr8s9,5a78b8355292b800012284ca,0,73,75,Thanks,MyPage,2023-01-31 17:59:27.345480,1,,,175.0,7,,0.0,0,1,1,jvmyo47k,,,,,0
8,mr59ra37,55d35447da14d7000e95318f,0,73,75,Thanks,MyPage,2023-01-31 17:59:32.043542,1,,,150.0,8,,0.0,8,1,1,jvmyo47k,,,,,0
9,swhi770f,5d42486206811e001ada5b4b,0,73,75,Thanks,MyPage,2023-01-31 17:59:32.233404,1,,,150.0,9,,0.0,0,1,1,jvmyo47k,,,,,0
10,coe8gami,5dee72917309b950e5262f3a,0,73,75,Thanks,MyPage,2023-01-31 17:59:33.705048,1,,,175.0,10,,0.0,0,1,1,jvmyo47k,,,,,0
11,21iyridh,633edc50cfae73d4a72ca889,0,6,75,Consent_opaque,TestPage,2023-01-31 17:59:34.743438,1,,,0.0,11,,0.0,,1,1,jvmyo47k,,,,,0
12,rtw23fhc,5b208c7888ee7400012b63f4,0,6,75,Consent_opaque,TestPage,2023-01-31 17:59:35.769038,1,,,0.0,12,,0.0,,1,1,jvmyo47k,,,,,0
13,vpr99e4m,60c4e1091b936c7b812e5af4,0,73,75,Thanks,MyPage,2023-01-31 17:59:35.819058,1,,,150.0,13,,0.0,0,1,1,jvmyo47k,,,,,0
14,ogcg1hf8,5fadeb340e10471fdeb5fbf5,0,73,75,Thanks,MyPage,2023-01-31 17:59:35.921291,1,,,75.0,14,,0.0,0,1,1,jvmyo47k,,,,,0
15,l32vnv3c,5d2df745da13f60018d14b64,0,73,75,Thanks,MyPage,2023-01-31 17:59:36.881868,1,,,150.0,15,,0.0,0,1,1,jvmyo47k,,,,,0
16,1ghexewz,5e8b89d0afcb1606e761ef7f,0,73,75,Thanks,MyPage,2023-01-31 17:59:39.012343,1,,,175.0,16,,0.0,8,1,1,jvmyo47k,,,,,0
17,316lvl07,60e9af9a43403df7e5194222,0,73,75,Thanks,MyPage,2023-01-31 17:59:40.135038,1,,,75.0,17,,0.0,7,1,1,jvmyo47k,,,,,0
18,7ps0qgvw,63cc62e53735576a651d54a9,0,73,75,Thanks,MyPage,2023-01-31 17:59:40.776822,1,,,150.0,18,,0.0,5,1,1,jvmyo47k,,,,,0
19,wu5gkiu9,5f3a99865242340d71f85620,0,73,75,Thanks,MyPage,2023-01-31 17:59:40.974179,1,,,150.0,19,,0.0,0,1,1,jvmyo47k,,,,,0
20,9pfl8p5i,5eb81d360943fe74d6aba62b,0,73,75,Thanks,MyPage,2023-01-31 17:59:41.609321,1,,,175.0,20,,0.0,0,1,1,jvmyo47k,,,,,0
21,sez6frya,63d7b8fd20b4612bc2949c29,0,73,75,Thanks,MyPage,2023-01-31 17:59:43.155169,1,,,175.0,21,,0.0,0,1,1,jvmyo47k,,,,,0
22,okz9hq68,5e065c9fe78021031a4b1d59,0,73,75,Thanks,MyPage,2023-01-31 17:59:43.780387,1,,,175.0,22,,0.0,8,1,1,jvmyo47k,,,,,0
23,ef9sdttn,583b397f54686200010f1d20,0,73,75,Thanks,MyPage,2023-01-31 17:59:43.828750,1,,,75.0,23,,0.0,6,1,1,jvmyo47k,,,,,0
