Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63daab7c5557924e64d1b23b,5e8a1827052175000938eb91,AWAITING REVIEW,2023-02-01T18:12:19.853000Z,2023-02-01T18:26:05.108000Z,,2023-02-01T18:26:05.447736Z,826,C1MW0K8M,2602,24,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
63daab7ccd8266ed105c009c,60bff9298f56d55c8ecd9adf,AWAITING REVIEW,2023-02-01T18:13:36.766000Z,2023-02-01T18:28:05.905000Z,,2023-02-01T18:28:06.272019Z,870,C1MW0K8M,2915,32,Female,White,United States,United States,United States,English,No,Full-Time
63daab7ef0994ce50d19fd67,5b9c2c816f92f30001ecce7a,AWAITING REVIEW,2023-02-01T18:12:16.666000Z,2023-02-01T18:29:00.231000Z,,2023-02-01T18:29:00.580178Z,1004,C1MW0K8M,1139,28,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
63daab7fee49cd13b971795d,5d453e8723a5bb0001492546,AWAITING REVIEW,2023-02-01T18:12:15.087000Z,2023-02-01T18:39:38.093000Z,,2023-02-01T18:39:38.595356Z,1644,C1MW0K8M,1995,28,Male,White,United States,United States,United States,English,Yes,Full-Time
63daab80ddc2e31766adb687,61452bbe86c21c0347085911,AWAITING REVIEW,2023-02-01T18:14:21.964000Z,2023-02-01T19:12:51.193000Z,,2023-02-01T19:12:54.375078Z,3510,C1MW0K8M,1478,27,Male,White,United States,United States,United States,English,No,Full-Time
63daab81e937b48d73689922,63d7ae88e8bad3b539a8333b,AWAITING REVIEW,2023-02-01T18:15:06.409000Z,2023-02-01T18:31:56.637000Z,,2023-02-01T18:31:56.987039Z,1011,C1MW0K8M,50,29,Male,White,United States,United States,United States,English,No,Full-Time
63daab8218eb4e5b621a1eb1,637aa193015973b5f2ee4dd7,AWAITING REVIEW,2023-02-01T18:12:23.053000Z,2023-02-01T18:25:45.922000Z,,2023-02-01T18:25:46.279959Z,803,C1MW0K8M,540,59,Female,White,United States,United States,United States,English,No,Full-Time
63daab82e8b61a9571787024,5c8db07eb1f89a0016777fe0,AWAITING REVIEW,2023-02-01T18:12:22.534000Z,2023-02-01T18:38:59.655000Z,,2023-02-01T18:38:59.964795Z,1598,C1MW0K8M,1047,34,Female,White,United States,United States,United States,English,No,Full-Time
63daab82ef4052f94c1a1e6a,5b97f70161c19e00018db4a8,AWAITING REVIEW,2023-02-01T18:13:08.801000Z,2023-02-01T18:25:40.199000Z,,2023-02-01T18:25:40.607839Z,752,C1MW0K8M,4364,38,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63daab83139a6e0ef9636800,60c119b30aa5205b493541b6,AWAITING REVIEW,2023-02-01T18:12:19.806000Z,2023-02-01T18:32:06.053000Z,,2023-02-01T18:32:06.432451Z,1187,C1MW0K8M,1293,70,Male,White,United States,United States,United States,English,No,Full-Time
63daab83c2ab4c4a9d2dcda1,6314c1e76c3f71e2127f1976,AWAITING REVIEW,2023-02-01T18:13:37.882000Z,2023-02-01T18:44:48.751000Z,,2023-02-01T18:44:49.128178Z,1871,C1MW0K8M,885,42,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
63daab83f0361dbd0f805bb9,5de82c263aa2777a36b996b2,AWAITING REVIEW,2023-02-01T18:12:24.651000Z,2023-02-01T18:37:49.173000Z,,2023-02-01T18:37:49.506408Z,1525,C1MW0K8M,2099,44,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
63daab842443c287f0525b91,56bd7bf3d4e2180005a86846,AWAITING REVIEW,2023-02-01T18:12:51.204000Z,2023-02-01T18:34:45.387000Z,,2023-02-01T18:34:46.006501Z,1315,C1MW0K8M,831,37,Female,Black,United States,United States,United States,English,No,Full-Time
