participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.pid,player.is_coop,player.action,player.partner_action,player.rt,player.is_dropout,player.condition,group.id_in_subsession,group.has_dropout,group.is_ready,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,nrglb8r9,63c515f70542e2ff1937031b,0,1,29,Consent_general,ConsentPage,2024-03-20 17:07:16.048016,1,,,0.0,1,,0.0,,,Not yet,Not yet,,0,RT,1,0,0,1,u3pxiuqe,,,,,0
2,ld5mleiz,64402f7ad3d019dc99b9f3f0,0,29,29,Thanks,MyPage,2024-03-20 17:11:14.462077,1,,,150.0,1,,150.0,,1,Invest,Invest,3.787,0,RT,2,0,1,1,u3pxiuqe,,,,,0
3,s2opc3fe,63f82a4ff43ec144ca3622a8,0,4,29,Intro_RT,GameIntroPage,2024-03-20 17:12:22.976940,1,,,0.0,3,,0.0,,,Not yet,Not yet,,0,RT,1,0,0,1,u3pxiuqe,,,,,0
4,0beg25bq,13g00T7Zd26ml597DL6956S7,0,1,29,Consent_general,ConsentPage,2024-03-20 17:12:24.390573,1,,,0.0,4,,0.0,,,Not yet,Not yet,,0,RT,1,0,0,1,u3pxiuqe,,,,,0
5,e30ecthk,5d4869cc692e5400197a980c,0,29,29,Thanks,MyPage,2024-03-20 17:12:32.575822,1,,,100.0,1,,100.0,,0,Keep,Keep,13.937,0,RT,7,0,1,1,u3pxiuqe,,,,,0
6,ubb99n51,5dc483cf74939e34e55c3619,0,29,29,Thanks,MyPage,2024-03-20 17:12:34.768033,1,,,150.0,1,,150.0,,1,Invest,Invest,2.26,0,RT,3,0,1,1,u3pxiuqe,,,,,0
7,3lffep14,1Jg007jZ12609Z97D96n5667,0,1,29,Consent_general,ConsentPage,2024-03-20 17:12:36.619920,1,,,0.0,7,,0.0,,,Not yet,Not yet,,0,RT,1,0,0,1,u3pxiuqe,,,,,0
8,9gnrbho9,5deb341d35575a2547b1f85a,0,29,29,Thanks,MyPage,2024-03-20 17:13:06.903299,1,,,150.0,1,,150.0,,1,Invest,Invest,8.138,0,RT,4,0,1,1,u3pxiuqe,,,,,0
9,kh929oi9,5d63867550d0dd0017805976,0,29,29,Thanks,MyPage,2024-03-20 17:13:08.352705,1,,,150.0,1,,150.0,,1,Invest,Invest,14.123,0,RT,5,0,1,1,u3pxiuqe,,,,,0
10,a7j57a3j,63d152150ad28a2b24aa507a,0,29,29,Thanks,MyPage,2024-03-20 17:13:08.888743,1,,,150.0,2,,150.0,,1,Invest,Invest,3.862,0,RT,3,0,1,1,u3pxiuqe,,,,,0
