participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.pid,player.is_coop,player.action,player.partner_action,player.rt,player.is_dropout,player.condition,group.id_in_subsession,group.has_dropout,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,jcb5p4r4,63c515f70542e2ff1937031b,0,1,32,Consent_general,ConsentPage,2024-03-20 16:35:01.436704,1,,,0.0,1,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
2,fhavdxuf,61531a9bd8acf4e88e083892,0,32,32,Thanks,MyPage,2024-03-20 16:37:01.108391,1,,,150.0,2,,150.0,,1,Invest,Invest,4.271,0,SQ,8,0,1,7reoo3kl,,,,,0
3,l9t0g9ij,63d69919e9b7547ceeb0d31d,0,32,32,Thanks,MyPage,2024-03-20 16:37:15.107719,1,,,100.0,2,,100.0,,0,Keep,Keep,7.256,0,SQ,4,0,1,7reoo3kl,,,,,0
4,ydogyhgb,5c475608cae0ab000188cb6e,0,32,32,Thanks,MyPage,2024-03-20 16:37:43.428470,1,,,200.0,2,,200.0,,0,Keep,Invest,3.886,0,SQ,34,0,1,7reoo3kl,,,,,0
5,uymre0gf,65cf88a1a3887a237da61f94,0,32,32,Thanks,MyPage,2024-03-20 16:37:44.703837,1,,,150.0,2,,150.0,,1,Invest,Invest,2.027,0,SQ,3,0,1,7reoo3kl,,,,,0
6,b31viyw5,569298838d93fe000dfa033c,0,4,32,Intro_SQ,GameIntroPage,2024-03-20 16:37:51.747420,1,,,0.0,6,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
7,9lik89oe,640d43c9451ce148162a7643,0,32,32,Thanks,MyPage,2024-03-20 16:38:06.818227,1,,,150.0,1,,150.0,,1,Invest,Invest,1.627,0,SQ,2,0,1,7reoo3kl,,,,,0
8,4ixtcdl2,138E07j3126ml597596n5667,0,1,32,Consent_general,ConsentPage,2024-03-20 16:38:08.018353,1,,,0.0,8,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
9,9tkvjqom,5c5ac2869d974300015d81fc,0,32,32,Thanks,MyPage,2024-03-20 16:38:09.708109,1,,,100.0,1,,100.0,,0,Keep,Keep,17.67,0,SQ,6,0,1,7reoo3kl,,,,,0
10,wv4d09w0,65e22b2cb3efd22e847d0bf0,0,32,32,Thanks,MyPage,2024-03-20 16:38:13.803525,1,,,150.0,1,,150.0,,1,Invest,Invest,1.362,0,SQ,9,0,1,7reoo3kl,,,,,0
11,vs690o5e,5aa806e7777df200016088c5,0,32,32,Thanks,MyPage,2024-03-20 16:38:23.823363,1,,,100.0,1,,100.0,,0,Keep,Keep,1.608,0,SQ,25,0,1,7reoo3kl,,,,,0
12,se4ia6zi,607778a26ff3de83125f50c5,0,32,32,Thanks,MyPage,2024-03-20 16:38:24.722604,1,,,150.0,1,,150.0,,1,Invest,Invest,1.167,0,SQ,7,0,1,7reoo3kl,,,,,0
13,bbvg2af9,646674819405d971b1c013b6,0,19,32,not_completed,MyPage,2024-03-20 16:38:39.792050,1,,,0.0,2,,0.0,,,Not yet,Not yet,,0,SQ,50,1,1,7reoo3kl,,,,,0
14,65h7slna,5dcea7314d51e4107516c80d,0,4,32,Intro_SQ,GameIntroPage,2024-03-20 16:38:39.569676,1,,,0.0,14,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
15,camhj5nl,6581458319fd30c077feba23,0,6,32,Intro_SQ,TestPage,2024-03-20 16:38:41.712085,1,,,0.0,15,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
16,t1k7twc3,644937030a7868838f1e1b9a,0,32,32,Thanks,MyPage,2024-03-20 16:38:53.573729,1,,,150.0,1,,150.0,,1,Invest,Invest,35.09,0,SQ,41,0,1,7reoo3kl,,,,,0
