Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65fafda0ba90f06d2c3b0b29,65b26bbe1d5dfa901eeb87c3,APPROVED,Not Applicable,2024-03-20T15:15:53.867000Z,2024-03-20T15:24:14.509000Z,2024-03-21T14:49:46.144000Z,2024-03-20T15:24:49.235271Z,501.0,CIH2THBV,449,31,Female,White,United States,United States,United States,English,No,Full-Time
65fafdbcf17502a0832662b8,6578810e89bb72246d6e92e8,APPROVED,Not Applicable,2024-03-20T15:16:26.960000Z,2024-03-20T15:24:39.448000Z,2024-03-21T14:49:46.893000Z,2024-03-20T15:24:58.839708Z,493.0,CIH2THBV,507,54,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65fafde5e7e7d87a71df9084,65f45946f2b97b9d40761ce1,APPROVED,Not Applicable,2024-03-20T15:23:05.558000Z,2024-03-20T15:31:23.850000Z,2024-03-21T14:49:47.500000Z,2024-03-20T15:31:24.581458Z,499.0,CIH2THBV,72,28,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65fafe363e92080519cf2d61,63d2d90dab88cd046129d697,APPROVED,Not Applicable,2024-03-20T15:18:17.872000Z,2024-03-20T15:26:30.450000Z,2024-03-21T14:49:48.058000Z,2024-03-20T15:26:31.039841Z,493.0,CIH2THBV,2363,22,Male,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED
65fafe3f378e839e00be88d4,652ec2998754cc5da66b63f2,APPROVED,Not Applicable,2024-03-20T15:18:29.244000Z,2024-03-20T15:31:05.459000Z,2024-03-21T14:49:48.574000Z,2024-03-20T15:31:05.978751Z,757.0,CIH2THBV,1023,64,Female,White,United States,United States,United States,English,No,Full-Time
65fafe57e112c15cff3ba4d5,63d181019036d598f33bfe33,APPROVED,Not Applicable,2024-03-20T15:18:51.136000Z,2024-03-20T15:27:36.293000Z,2024-03-21T14:49:49.174000Z,2024-03-20T15:27:36.984361Z,526.0,CIH2THBV,2998,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fafe5fa74abd569dc44cbb,6547a05ca3b182bd3f2d9af8,APPROVED,Not Applicable,2024-03-20T15:19:00.759000Z,2024-03-20T15:27:41.124000Z,2024-03-21T14:49:49.584000Z,2024-03-20T15:27:41.834581Z,521.0,CIH2THBV,1090,30,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65fafe666395693546c44ce5,63cc61687ea57d11f6761f4d,APPROVED,Not Applicable,2024-03-20T15:19:02.037000Z,2024-03-20T16:07:01.661000Z,2024-03-21T14:49:50.136000Z,2024-03-20T16:07:02.744546Z,2880.0,CIH2THBV,1943,54,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fafe7ae9e54dadd6bdaae8,5c74e7e9c3fe130001e86cc8,APPROVED,Not Applicable,2024-03-20T15:20:00.094000Z,2024-03-20T15:29:09.379000Z,2024-03-21T14:49:50.718000Z,2024-03-20T15:29:09.882780Z,550.0,CIH2THBV,2406,35,Female,White,United States,United States,United States,English,No,Full-Time
65fafe7ece854c456fed1ab4,656e7a6cc1ef92f28a2c28ae,APPROVED,Not Applicable,2024-03-20T15:19:30.727000Z,2024-03-20T15:33:30.745000Z,2024-03-21T14:49:51.397000Z,2024-03-20T15:33:58.862068Z,841.0,CIH2THBV,422,53,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65fafea46ea150d3a44b3b14,5698f2a7b0e165000c0158cd,APPROVED,Not Applicable,2024-03-20T15:21:21.288000Z,2024-03-20T15:29:23.836000Z,2024-03-21T14:49:52.141000Z,2024-03-20T15:29:24.417966Z,483.0,CIH2THBV,453,35,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
65fafea6d9b5888f865a3045,63c93f3a44e47b49c6f0223c,APPROVED,Not Applicable,2024-03-20T15:20:12.468000Z,2024-03-20T16:06:23.119000Z,2024-03-21T14:49:52.655000Z,2024-03-20T16:06:23.786099Z,2771.0,CIH2THBV,1943,63,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fafeb599bc3da84b45d56e,6466713f69508331b82d5040,APPROVED,Not Applicable,2024-03-20T15:20:21.675000Z,2024-03-20T15:51:57.495000Z,2024-03-21T14:49:53.290000Z,2024-03-20T15:52:00.224273Z,1896.0,CIH2THBV,2277,55,Male,White,United States,United States,United States,English,Yes,Full-Time
65fafec0ce854c456fed1ada,5685850c333cbd000d4e042f,APPROVED,Not Applicable,2024-03-20T15:20:41.626000Z,2024-03-20T15:29:00.284000Z,2024-03-21T14:49:53.722000Z,2024-03-20T15:29:00.827607Z,499.0,CIH2THBV,5513,29,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65fafeca43bd191be91011b0,592f1db78ad1ae0001937983,APPROVED,Not Applicable,2024-03-20T15:20:47.122000Z,2024-03-20T15:36:09.909000Z,2024-03-21T14:49:54.140000Z,2024-03-20T15:38:45.622031Z,923.0,CIH2THBV,1654,46,Male,White,United States,United States,United States,English,No,Full-Time
65fafecace854c456fed1ade,6287a8c4a6303ff156cd0853,APPROVED,Not Applicable,2024-03-20T15:20:47.929000Z,2024-03-20T15:32:10.694000Z,2024-03-21T14:49:54.619000Z,2024-03-20T15:32:18.253002Z,683.0,CIH2THBV,4414,60,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65fafecbbeb97bd77d673ac8,63d4019999c9ab839156014c,APPROVED,Not Applicable,2024-03-20T15:20:52.715000Z,2024-03-20T15:26:30.584000Z,2024-03-21T14:49:55.085000Z,2024-03-20T15:26:31.234614Z,338.0,CIH2THBV,2541,20,Female,White,United States,United States,United States,English,Yes,Part-Time
65fafecc775910acce274500,5cbe00898f939c0017c0b9d8,APPROVED,Not Applicable,2024-03-20T15:20:44.258000Z,2024-03-20T15:29:31.272000Z,2024-03-21T14:49:55.366000Z,2024-03-20T15:29:31.774092Z,528.0,CIH2THBV,5411,57,Male,White,United States,United States,United States,English,No,Part-Time
65fafecced60ed2bcb3afbeb,5d88db42c1d06e001a1fdcab,APPROVED,Not Applicable,2024-03-20T15:20:48.855000Z,2024-03-20T15:29:33.626000Z,2024-03-21T14:49:55.851000Z,2024-03-20T15:29:34.517840Z,525.0,CIH2THBV,8009,49,Female,White,United States,United States,United States,English,No,Full-Time
