Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65fb10a3ea4113c98fccbd07,61531a9bd8acf4e88e083892,APPROVED,Not Applicable,2024-03-20T16:36:57.449000Z,2024-03-20T16:51:57.711000Z,2024-03-21T14:55:10.910000Z,2024-03-20T16:53:24.715668Z,901.0,CIH2THBV,1713,46,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb10b1a61fb4e2b3b4fdad,5c475608cae0ab000188cb6e,APPROVED,Not Applicable,2024-03-20T16:37:40.619000Z,2024-03-20T16:56:37.904000Z,2024-03-21T14:55:11.241000Z,2024-03-20T16:56:38.450443Z,1138.0,CIH2THBV,1673,33,Male,Other,United States,United States,United States,English,No,Part-Time
65fb10b20635577681ad40fa,63d69919e9b7547ceeb0d31d,APPROVED,Not Applicable,2024-03-20T16:37:11.992000Z,2024-03-20T16:49:39.275000Z,2024-03-21T14:55:11.539000Z,2024-03-20T16:53:15.260292Z,748.0,CIH2THBV,526,57,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65fb10babeb97bd77d6740a7,6365ab361b71daa9f0eed7bd,APPROVED,Not Applicable,2024-03-20T16:39:06.649000Z,2024-03-20T17:25:05.190000Z,2024-03-21T14:55:11.799000Z,2024-03-20T17:25:05.781072Z,2759.0,CIH2THBV,1266,38,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb10d407146453c65ecb30,646674819405d971b1c013b6,APPROVED,Not Applicable,2024-03-20T16:38:31.500000Z,2024-03-20T17:16:37.664000Z,2024-03-21T14:55:12.098000Z,2024-03-20T17:16:38.233277Z,2287.0,CO4SDEJE,1862,50,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb10d6e6cc80b6ae699218,65cf88a1a3887a237da61f94,APPROVED,Not Applicable,2024-03-20T16:37:42.551000Z,2024-03-20T16:49:04.095000Z,2024-03-21T14:55:12.425000Z,2024-03-20T16:53:14.758579Z,682.0,CIH2THBV,376,23,Male,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
65fb10dec65c1be249f8a80a,63fd0a7da4c0df409be0a784,APPROVED,Not Applicable,2024-03-20T16:39:41.524000Z,2024-03-20T16:51:18.435000Z,2024-03-21T14:55:12.733000Z,2024-03-20T16:53:22.530742Z,697.0,CIH2THBV,1189,43,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
65fb10e52bc9ba171d317dd2,5aa806e7777df200016088c5,APPROVED,Not Applicable,2024-03-20T16:38:19.827000Z,2024-03-20T16:56:35.082000Z,2024-03-21T14:55:13.038000Z,2024-03-20T16:56:35.632360Z,1096.0,CIH2THBV,4806,36,Female,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb10e6d077d96bba628032,640d43c9451ce148162a7643,APPROVED,Not Applicable,2024-03-20T16:38:03.689000Z,2024-03-20T16:47:58.731000Z,2024-03-21T14:55:13.317000Z,2024-03-20T16:53:06.757074Z,596.0,CIH2THBV,3192,48,Male,White,United States,United States,United States,English,No,Full-Time
65fb10ea85ce2d99ff988ef5,5720a9f6fd3a5200113c1891,APPROVED,Not Applicable,2024-03-20T16:43:16.936000Z,2024-03-20T17:03:50.219000Z,2024-03-21T14:55:13.583000Z,2024-03-20T17:03:51.427428Z,1234.0,CIH2THBV,6089,52,Female,White,United States,United States,United States,English,No,Full-Time
65fb10ead7f3e583e54b0a78,65e22b2cb3efd22e847d0bf0,APPROVED,Not Applicable,2024-03-20T16:38:08.026000Z,2024-03-20T16:51:52.657000Z,2024-03-21T14:55:13.805000Z,2024-03-20T16:53:23.833469Z,825.0,CIH2THBV,102,64,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65fb10ecd9b5888f865a353f,5c5ac2869d974300015d81fc,APPROVED,Not Applicable,2024-03-20T16:38:04.801000Z,2024-03-20T16:49:09.461000Z,2024-03-21T14:55:14.054000Z,2024-03-20T16:53:13.894435Z,665.0,CIH2THBV,1969,37,Male,White,United States,United States,United States,English,No,Part-Time
65fb10fee7c40095062ce768,607778a26ff3de83125f50c5,APPROVED,Not Applicable,2024-03-20T16:38:22.330000Z,2024-03-20T16:49:13.071000Z,2024-03-21T14:55:14.552000Z,2024-03-20T16:53:14.099276Z,651.0,CIH2THBV,2622,37,Male,Asian,India,United States,United States,English,No,Part-Time
65fb11004e64d996e751a9d7,65f506b13213d7223ce26cd8,APPROVED,Not Applicable,2024-03-20T16:39:01.698000Z,2024-03-20T16:56:42.195000Z,2024-03-21T14:55:14.806000Z,2024-03-20T16:56:42.758813Z,1061.0,CIH2THBV,55,46,Female,White,United States,United States,United States,English,No,Other
65fb1102b12fd9c02771ef23,655f97cd4f1c17ae262fd0fa,APPROVED,Not Applicable,2024-03-20T16:40:52.151000Z,2024-03-20T16:52:08.704000Z,2024-03-21T14:55:15.128000Z,2024-03-20T16:53:25.446502Z,677.0,CIH2THBV,773,30,Female,Black,United States,United States,United States,English,No,Full-Time
65fb110fa34202488c47b7e2,63ecff07b619306f41db42fa,APPROVED,Not Applicable,2024-03-20T16:39:25.365000Z,2024-03-20T16:58:40.128000Z,2024-03-21T14:55:15.531000Z,2024-03-20T16:58:40.880379Z,1155.0,CIH2THBV,2462,33,Male,White,United States,United States,United States,English,No,Full-Time
65fb11117f55705c503ba99f,6276d97e209059496d37bf74,APPROVED,Not Applicable,2024-03-20T16:38:54.853000Z,2024-03-20T16:53:50.337000Z,2024-03-21T14:55:15.937000Z,2024-03-20T16:53:50.974176Z,896.0,CIH2THBV,4203,56,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
