Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65fb18a9a02fa5d8b00d2f01,64402f7ad3d019dc99b9f3f0,APPROVED,Not Applicable,2024-03-20T17:11:05.963000Z,2024-03-20T17:22:17.593000Z,2024-03-21T14:57:10.478000Z,2024-03-20T17:23:21.113072Z,672.0,CIH2THBV,2411,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb18e93b37d18140828379,5deb341d35575a2547b1f85a,APPROVED,Not Applicable,2024-03-20T17:13:02.385000Z,2024-03-20T17:23:01.610000Z,2024-03-21T14:57:10.769000Z,2024-03-20T17:24:02.728248Z,600.0,CIH2THBV,1887,39,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65fb18f3243f6f342ebed288,5d4869cc692e5400197a980c,APPROVED,Not Applicable,2024-03-20T17:12:28.324000Z,2024-03-20T17:24:06.421000Z,2024-03-21T14:57:11.008000Z,2024-03-20T17:24:41.763627Z,699.0,CIH2THBV,937,26,Male,White,United States,United States,United States,English,No,Part-Time
65fb18f892ce3671a6320967,5dc483cf74939e34e55c3619,APPROVED,Not Applicable,2024-03-20T17:12:29.164000Z,2024-03-20T17:21:13.086000Z,2024-03-21T14:57:11.335000Z,2024-03-20T17:22:00.958996Z,524.0,CIH2THBV,7053,73,Male,White,United States,United States,United States,English,No,Part-Time
65fb190444b53e24f4349d5b,6010b744db280e455a5250bd,APPROVED,Not Applicable,2024-03-20T17:12:44.362000Z,2024-03-20T17:24:42.587000Z,2024-03-21T14:57:11.791000Z,2024-03-20T17:24:53.983945Z,719.0,CIH2THBV,4656,57,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65fb19148a36a8c7cc0a79d5,6150ad2e7810ffa81684d2cb,APPROVED,Not Applicable,2024-03-20T17:14:51.227000Z,2024-03-20T17:26:25.504000Z,2024-03-21T14:57:12.302000Z,2024-03-20T17:26:26.394412Z,695.0,CIH2THBV,2073,41,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
65fb1915324ca79fa5637fb6,5d63867550d0dd0017805976,APPROVED,Not Applicable,2024-03-20T17:13:04.021000Z,2024-03-20T17:24:39.934000Z,2024-03-21T14:57:12.651000Z,2024-03-20T17:24:53.152925Z,696.0,CIH2THBV,6447,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb19163669cccb93a67898,63d152150ad28a2b24aa507a,APPROVED,Not Applicable,2024-03-20T17:13:06.611000Z,2024-03-20T17:21:59.177000Z,2024-03-21T14:57:13.092000Z,2024-03-20T17:22:57.475107Z,533.0,CIH2THBV,2305,34,Female,Asian,India,United States,United States,English,No,Full-Time
65fb1927d32a9ba27d5c5a19,5df4892578322533c70aecdf,APPROVED,Not Applicable,2024-03-20T17:13:11.173000Z,2024-03-20T17:20:01.014000Z,2024-03-21T14:57:13.451000Z,2024-03-20T17:20:02.340029Z,410.0,CIH2THBV,5961,25,Male,Asian,United States,United States,United States,English,No,Full-Time
65fb192f60a83e07faf0e5aa,651dc3d05cac9714062c2034,APPROVED,Not Applicable,2024-03-20T17:13:19.489000Z,2024-03-20T17:41:06.195000Z,2024-03-21T14:57:13.823000Z,2024-03-20T17:41:47.973032Z,1667.0,CIH2THBV,817,51,Female,Black,United States,United States,United States,English,Yes,Full-Time
