Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65fb271bdfced14be7dbb223,61632b52ab37a7fde834300f,APPROVED,Not Applicable,2024-03-20T18:14:13.986000Z,2024-03-20T18:30:00.040000Z,2024-03-21T14:59:55.654000Z,2024-03-20T18:30:42.208601Z,947.0,CIH2THBV,2657,43,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb2740c47501affe861145,5c36e40e299f82000103ce0a,APPROVED,Not Applicable,2024-03-20T18:13:30.177000Z,2024-03-20T18:29:09.766000Z,2024-03-21T14:59:56.036000Z,2024-03-20T18:30:14.757872Z,940.0,CIH2THBV,2512,43,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65fb2746f3cf0317d7850bc9,5dc474fd45b8f933f16d6241,APPROVED,Not Applicable,2024-03-20T18:13:38.540000Z,2024-03-20T18:26:20.190000Z,2024-03-21T14:59:56.261000Z,2024-03-20T18:27:39.299171Z,762.0,CIH2THBV,957,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65fb274916d3ed6311600a4d,5ededc7ab3595e17ef9533df,APPROVED,Not Applicable,2024-03-20T18:13:32.050000Z,2024-03-20T18:25:05.673000Z,2024-03-21T14:59:56.475000Z,2024-03-20T18:25:35.905686Z,694.0,CIH2THBV,4195,36,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb274981def499ff06f6aa,5fd66ce8aec66457ff73d743,APPROVED,Not Applicable,2024-03-20T18:13:34.150000Z,2024-03-20T18:26:03.313000Z,2024-03-21T14:59:56.716000Z,2024-03-20T18:27:08.854241Z,750.0,CIH2THBV,3310,57,Female,White,United States,United States,United States,English,No,Full-Time
65fb274cbdc01177baa318d6,604011377e5b121dc3267a3e,APPROVED,Not Applicable,2024-03-20T18:13:37.534000Z,2024-03-20T18:24:15.439000Z,2024-03-21T14:59:56.950000Z,2024-03-20T18:24:23.407153Z,638.0,CIH2THBV,2751,28,Male,Asian,United States,United States,United States,English,No,Full-Time
65fb274d335788d02c26c20c,6579d5a22e0a15c71dd52086,APPROVED,Not Applicable,2024-03-20T18:13:38.229000Z,2024-03-20T18:28:11.686000Z,2024-03-21T14:59:57.169000Z,2024-03-20T18:29:47.775651Z,874.0,CIH2THBV,698,46,Male,Other,United States,United States,United States,English,No,Other
65fb274da19733e6ccb9b184,610729d5507a50dd1db1246f,APPROVED,Not Applicable,2024-03-20T18:13:37.516000Z,2024-03-20T18:30:18.544000Z,2024-03-21T14:59:57.384000Z,2024-03-20T18:30:48.072403Z,1002.0,CIH2THBV,1461,56,Female,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
65fb274eac1de4ccec6c1b5b,63e5a6690eeedc20da056717,APPROVED,Not Applicable,2024-03-20T18:13:47.898000Z,2024-03-20T18:27:08.496000Z,2024-03-21T14:59:57.602000Z,2024-03-20T19:30:07.058264Z,801.0,CIH2THBV,2364,40,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
65fb274f50706d8a21703a16,63f794e7d8d24753edbbb136,APPROVED,Not Applicable,2024-03-20T18:13:43.571000Z,2024-03-20T18:36:26.035000Z,2024-03-21T14:59:57.840000Z,2024-03-20T18:36:26.501258Z,1363.0,CIH2THBV,1452,38,Female,White,United States,United States,United States,English,No,Full-Time
65fb2750bee9408a3128b5f9,5ee5e3b02eebe932ee9559c5,APPROVED,Not Applicable,2024-03-20T18:19:13.639000Z,2024-03-20T18:40:37.898000Z,2024-03-21T14:59:58.076000Z,2024-03-20T18:41:58.437346Z,1285.0,CIH2THBV,5335,34,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
65fb275280a337c98992860e,60dfd857e293a99dd577f4c8,APPROVED,Not Applicable,2024-03-20T18:13:47.457000Z,2024-03-20T18:32:12.960000Z,2024-03-21T14:59:58.351000Z,2024-03-20T18:32:13.457754Z,1106.0,CIH2THBV,5786,66,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65fb2755a268e33e8b02ef26,6584aa4023ce9a5ec9b7dd37,APPROVED,Not Applicable,2024-03-20T18:13:44.894000Z,2024-03-20T18:24:17.444000Z,2024-03-21T14:59:58.598000Z,2024-03-20T18:24:26.389064Z,633.0,CIH2THBV,746,43,Male,White,United States,United States,United States,English,No,Full-Time
65fb2756503cee5ef2fe4719,5f6fd1451758e95a989623b2,APPROVED,Not Applicable,2024-03-20T18:13:53.254000Z,2024-03-20T18:31:30.696000Z,2024-03-21T14:59:58.884000Z,2024-03-20T18:31:31.178572Z,1058.0,CIH2THBV,5308,51,Male,White,United States,United States,United States,English,No,Part-Time
65fb275783f62336587302d2,65b574d703587ccea5f0b519,APPROVED,Not Applicable,2024-03-20T18:13:49.345000Z,2024-03-20T18:36:38.804000Z,2024-03-21T14:59:59.256000Z,2024-03-20T18:36:39.295786Z,1370.0,CIH2THBV,329,64,Female,White,United States,United States,United States,English,No,Other
65fb275791d542a9aacb5f49,5efcce586913680d063d7c5f,APPROVED,Not Applicable,2024-03-20T18:13:47.622000Z,2024-03-20T18:25:47.663000Z,2024-03-21T14:59:59.669000Z,2024-03-20T18:26:46.266023Z,721.0,CIH2THBV,3459,33,Male,White,United States,United States,United States,English,No,Full-Time
65fb2757c47501affe86114a,5fbb2540b981f7c1e0fca5ff,APPROVED,Not Applicable,2024-03-20T18:13:43.598000Z,2024-03-20T18:30:14.727000Z,2024-03-21T14:59:59.997000Z,2024-03-20T18:30:46.912073Z,992.0,CIH2THBV,5782,43,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb2758c47501affe86114c,58a229e74d580c0001e0a766,APPROVED,Not Applicable,2024-03-20T18:18:23.734000Z,2024-03-20T18:34:45.987000Z,2024-03-21T15:00:00.234000Z,2024-03-20T18:34:46.453439Z,983.0,CIH2THBV,849,34,Male,White,United States,United States,United States,English,No,Full-Time
65fb275bb7547ea09d85e675,5e9893ed5638a10bda112333,APPROVED,Not Applicable,2024-03-20T18:13:50.926000Z,2024-03-20T18:23:53.355000Z,2024-03-21T15:00:00.718000Z,2024-03-20T18:23:54.599583Z,603.0,CIH2THBV,1367,30,Male,Asian,United States,United States,United States,English,No,Full-Time
65fb275b83f62336587302d5,5e6fe86f7245355b33d7b045,APPROVED,Not Applicable,2024-03-20T18:15:01.657000Z,2024-03-20T18:25:36.198000Z,2024-03-21T15:00:00.503000Z,2024-03-20T18:26:25.575182Z,635.0,CIH2THBV,1716,22,Female,White,United States,United States,United States,English,Yes,Due to start a new job within the next month
65fb275c77da4c4facd26880,5b997f71eee17800012d747a,APPROVED,Not Applicable,2024-03-20T18:13:58.131000Z,2024-03-20T18:29:03.711000Z,2024-03-21T15:00:00.951000Z,2024-03-20T18:30:13.255446Z,906.0,CIH2THBV,677,33,Male,White,United States,United States,United States,English,No,Full-Time
65fb275f3eca52682206f5dc,5f6b8930b9d9530b1b065360,APPROVED,Not Applicable,2024-03-20T18:14:26.900000Z,2024-03-20T18:27:50.670000Z,2024-03-21T15:00:01.163000Z,2024-03-20T18:29:42.734852Z,804.0,CIH2THBV,5389,41,Male,White,United States,United States,United States,English,No,Full-Time
65fb276067cec23ae2c268df,5de260b9553cee28d97b058d,APPROVED,Not Applicable,2024-03-20T18:13:56.357000Z,2024-03-20T18:25:13.582000Z,2024-03-21T15:00:01.912000Z,2024-03-20T18:25:45.920240Z,678.0,CIH2THBV,1486,32,Male,White,United States,United States,United States,English,No,Full-Time
65fb27605b17a18b7bb165e8,5d612ae16512d700159face7,APPROVED,Not Applicable,2024-03-20T18:14:01.054000Z,2024-03-20T18:32:42.966000Z,2024-03-21T15:00:01.664000Z,2024-03-20T18:32:43.569954Z,1122.0,CIH2THBV,7648,40,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65fb27602f7c6c96c1f33083,63d42902a85ae3e7b4920266,APPROVED,Not Applicable,2024-03-20T18:13:55.234000Z,2024-03-20T18:22:29.148000Z,2024-03-21T15:00:01.403000Z,2024-03-20T18:22:34.174616Z,514.0,CIH2THBV,3159,34,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb276125d07b5d94f8322e,5758a78d768081000631a322,APPROVED,Not Applicable,2024-03-20T18:16:08.894000Z,2024-03-20T18:35:12.012000Z,2024-03-21T15:00:02.151000Z,2024-03-20T18:35:12.595254Z,1144.0,CIH2THBV,4970,55,Female,White,United States,United States,United States,English,No,Part-Time
65fb2763e5e49ac270e67e9f,56875435369319000c26947d,APPROVED,Not Applicable,2024-03-20T18:13:59.707000Z,2024-03-20T18:20:30.661000Z,2024-03-21T15:00:02.374000Z,2024-03-20T18:20:31.485053Z,391.0,CIH2THBV,7016,36,Male,White,United States,United States,United States,English,No,Full-Time
65fb27653258deaf1e02efd7,63ea7e60bdd3090eb4b0dcc5,APPROVED,Not Applicable,2024-03-20T18:14:18.292000Z,2024-03-20T18:30:28.390000Z,2024-03-21T15:00:02.589000Z,2024-03-20T18:30:51.107631Z,971.0,CIH2THBV,1361,27,Male,White,United States,United States,United States,English,No,Other
65fb27655b4284dbce12c408,5e863db644d87426bbe2e92a,APPROVED,Not Applicable,2024-03-20T18:14:39.725000Z,2024-03-20T18:31:54.188000Z,2024-03-21T15:00:02.835000Z,2024-03-20T18:31:54.712253Z,1035.0,CIH2THBV,515,68,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65fb276649c8fdff3605a403,5d89106d1719af0001ee23e5,APPROVED,Not Applicable,2024-03-20T18:14:02.816000Z,2024-03-20T18:32:02.602000Z,2024-03-21T15:00:03.049000Z,2024-03-20T18:32:03.261125Z,1080.0,CIH2THBV,6193,51,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65fb27687c88ddb09527b9d6,6567e5ab716b73eaff1ff2a6,APPROVED,Not Applicable,2024-03-20T18:14:05.441000Z,2024-03-20T18:21:31.507000Z,2024-03-21T15:00:03.283000Z,2024-03-20T18:21:32.379917Z,447.0,CIH2THBV,89,22,Female,Asian,United States,United States,United States,English,No,Part-Time
65fb2769b3ca72ce94e6f177,628f7e982aad1788d940317a,APPROVED,Not Applicable,2024-03-20T18:14:06.060000Z,2024-03-20T18:32:56.548000Z,2024-03-21T15:00:03.543000Z,2024-03-20T18:33:00.375632Z,1131.0,CIH2THBV,4110,70,Male,White,United States,United States,United States,English,No,Other
65fb276a190d6d5f05ecbc50,65d754b51c2c43aa8c7c62a0,APPROVED,Not Applicable,2024-03-20T18:14:20.219000Z,2024-03-20T18:29:37.063000Z,2024-03-21T15:00:03.819000Z,2024-03-20T18:30:34.008550Z,917.0,CIH2THBV,60,26,Male,White,United States,United States,United States,English,No,Full-Time
65fb276ad181e01495eaca6c,63f779f8e3d660cb75774fe8,APPROVED,Not Applicable,2024-03-20T18:14:07.258000Z,2024-03-20T18:26:22.214000Z,2024-03-21T15:00:04.091000Z,2024-03-20T18:27:43.806373Z,735.0,CIH2THBV,3121,42,Male,White,United States,United States,United States,English,No,Full-Time
65fb276bc97fcf8590980af4,65cbc27063ac644fa7970aaa,APPROVED,Not Applicable,2024-03-20T18:22:25.544000Z,2024-03-20T18:38:23.448000Z,2024-03-21T15:00:04.348000Z,2024-03-20T18:41:42.679029Z,958.0,CIH2THBV,241,40,Female,Asian,India,United States,United States,English,No,DATA_EXPIRED
65fb276ce1372e0b621b5c9b,6414da4319877aa1e31c301b,APPROVED,Not Applicable,2024-03-20T18:14:07.590000Z,2024-03-20T18:24:04.833000Z,2024-03-21T15:00:04.570000Z,2024-03-20T18:24:05.871716Z,598.0,CIH2THBV,3228,46,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
65fb276dae31f7ea77015ea3,5c01d3c509e9c70001500b10,APPROVED,Not Applicable,2024-03-20T18:14:15.123000Z,2024-03-20T18:25:32.371000Z,2024-03-21T15:00:04.824000Z,2024-03-20T18:26:18.089755Z,678.0,CIH2THBV,3885,33,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Full-Time
65fb276ea2db84a2187f3555,6166c0eb123b6e8b34628249,APPROVED,Not Applicable,2024-03-20T18:14:15.912000Z,2024-03-20T18:32:36.888000Z,2024-03-21T15:00:05.166000Z,2024-03-20T18:32:37.449283Z,1101.0,CIH2THBV,5348,27,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
65fb276fb14d3d07048610d5,63d7a6a997f03198526a1941,APPROVED,Not Applicable,2024-03-20T18:14:17.896000Z,2024-03-20T18:41:20.038000Z,2024-03-22T03:49:46.311000Z,2024-03-20T18:42:02.612242Z,1623.0,CVUP1NPZ,2884,39,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb2770c7d84e6ba99e6fd8,5d3899e31c8fb9001ca6183c,APPROVED,Not Applicable,2024-03-20T18:14:17.560000Z,2024-03-20T18:24:00.136000Z,2024-03-21T15:00:05.669000Z,2024-03-20T18:24:00.855917Z,583.0,CIH2THBV,5050,38,Male,White,United States,United States,United States,English,No,Full-Time
65fb2770611c371ff7056de4,60477705b440ae26c4aaf5bb,APPROVED,Not Applicable,2024-03-20T18:16:41.344000Z,2024-03-20T18:27:24.690000Z,2024-03-21T15:00:05.392000Z,2024-03-20T18:29:31.576267Z,644.0,CIH2THBV,7284,43,Male,Mixed,United States,United States,United States,English,No,Full-Time
65fb2774665ff2b34deaca69,63bef4ddef5b4d7295effbbd,APPROVED,Not Applicable,2024-03-20T18:14:15.811000Z,2024-03-20T18:28:55.079000Z,2024-03-21T15:00:05.953000Z,2024-03-20T18:30:09.542055Z,880.0,CIH2THBV,752,27,Female,Other,United States,United States,United States,English,No,Full-Time
65fb2774dfced14be7dbb23e,5f80c3b14dc3ba1509305a89,APPROVED,Not Applicable,2024-03-20T18:14:12.549000Z,2024-03-20T18:29:53.624000Z,2024-03-21T15:00:06.238000Z,2024-03-20T18:30:40.484954Z,942.0,CIH2THBV,8256,48,Male,White,United States,United States,United States,English,No,Full-Time
65fb2775aab639416abbbc2b,646f77d9a7d75c8264dba865,APPROVED,Not Applicable,2024-03-20T18:14:17.974000Z,2024-03-20T18:26:05.397000Z,2024-03-21T15:00:06.518000Z,2024-03-20T18:27:11.817420Z,708.0,CIH2THBV,1431,55,Male,White,Netherlands,United States,United States,English,No,Full-Time
65fb2775e0a47aa0fabbc0e3,65f3c382e630ca372dfcbff7,APPROVED,Not Applicable,2024-03-20T18:14:19.527000Z,2024-03-20T18:27:27.378000Z,2024-03-21T15:00:07.351000Z,2024-03-20T18:29:32.490018Z,788.0,CIH2THBV,56,34,Male,White,United States,United States,United States,English,No,Full-Time
