Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65fb2f53ae31f7ea7701604f,5c1053202b16ba0001c86317,APPROVED,Not Applicable,2024-03-20T18:47:49.615000Z,2024-03-20T18:59:44.196000Z,2024-03-21T15:01:20.905000Z,2024-03-20T18:59:44.690444Z,715.0,CIH2THBV,6143,38,Male,Black,United States,United States,United States,English,No,Full-Time
65fb2f6310625a8177242451,631916ad7afacf6bf7b9a0f6,APPROVED,Not Applicable,2024-03-20T18:48:03.648000Z,2024-03-20T18:59:33.881000Z,2024-03-21T15:01:21.261000Z,2024-03-20T18:59:34.509226Z,691.0,CIH2THBV,3344,48,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb2fda9bc675f7d378e845,5f285dc5b09b3715fa20a14c,APPROVED,Not Applicable,2024-03-20T18:50:13.679000Z,2024-03-20T19:06:39.045000Z,2024-03-21T15:01:21.506000Z,2024-03-20T19:06:39.635888Z,986.0,CIH2THBV,4484,57,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb2ff09bcd565177c62a29,65465ac216a26bebcc8d8b02,APPROVED,Not Applicable,2024-03-20T18:50:28.960000Z,2024-03-20T18:59:53.721000Z,2024-03-21T15:01:21.764000Z,2024-03-20T18:59:54.212487Z,565.0,CIH2THBV,1119,26,Female,White,United States,United States,United States,English,No,Full-Time
65fb2fff275eb965af1d9239,5fb2cbcafa4c009546a700e2,APPROVED,Not Applicable,2024-03-20T18:50:44.553000Z,2024-03-20T19:05:23.153000Z,2024-03-21T15:01:22.092000Z,2024-03-20T19:05:23.564103Z,879.0,CIH2THBV,2728,31,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb301c05916e7b2ffd934b,5aa485b11eda41000136c94b,APPROVED,Not Applicable,2024-03-20T18:51:13.498000Z,2024-03-20T18:59:47.390000Z,2024-03-21T15:01:22.417000Z,2024-03-20T18:59:48.472760Z,514.0,CIH2THBV,1551,36,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
65fb303f7c5eef8c09699af7,5f2c760dfff10e03206a686b,APPROVED,Not Applicable,2024-03-20T18:57:02.806000Z,2024-03-20T19:10:16.181000Z,2024-03-21T15:01:22.648000Z,2024-03-20T19:10:45.977647Z,794.0,CIH2THBV,1228,23,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
65fb3047c7d251fb7a3d5c7a,6352c60b4a9850783773f265,APPROVED,Not Applicable,2024-03-20T18:52:13.271000Z,2024-03-20T19:02:49.525000Z,2024-03-21T15:01:23.188000Z,2024-03-20T19:02:50.049539Z,637.0,CIH2THBV,4152,48,Male,Black,United States,United States,United States,English,No,Full-Time
65fb304797f8cde1b9703a02,643bf6338ab6927af28b0b88,APPROVED,Not Applicable,2024-03-20T18:51:56.768000Z,2024-03-20T19:01:37.938000Z,2024-03-21T15:01:22.919000Z,2024-03-20T19:01:38.463151Z,582.0,CIH2THBV,1832,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65fb304d320d4fe35c699abf,657f6c3a70bee71477c10e90,APPROVED,Not Applicable,2024-03-20T18:51:57.184000Z,2024-03-20T19:07:08.905000Z,2024-03-21T15:01:23.492000Z,2024-03-20T19:07:09.573860Z,912.0,CIH2THBV,837,29,Male,Asian,China,United States,United States,English,No,Full-Time
65fb304ea2db84a2187f36e9,64a2f68799cfe91aa4f9da77,APPROVED,Not Applicable,2024-03-20T18:52:02.474000Z,2024-03-20T19:04:39.253000Z,2024-03-21T15:01:23.718000Z,2024-03-20T19:04:39.731254Z,757.0,CIH2THBV,844,27,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65fb3050ac1de4ccec6c1db9,5d338bb02381b7001761694e,APPROVED,Not Applicable,2024-03-20T18:52:00.739000Z,2024-03-20T19:02:47.824000Z,2024-03-21T15:01:23.930000Z,2024-03-20T19:02:48.272154Z,648.0,CIH2THBV,8995,53,Male,White,United States,United States,United States,English,Yes,Full-Time
65fb30552f7c6c96c1f33289,65e257541a1445e571e8525f,APPROVED,Not Applicable,2024-03-20T18:52:09.716000Z,2024-03-20T19:04:43.202000Z,2024-03-21T15:01:24.165000Z,2024-03-20T19:04:43.722690Z,754.0,CIH2THBV,69,44,Female,White,United States,United States,United States,English,No,Full-Time
65fb3056991ed40e808e4ee3,5ef0fa1b7d17e30b4204723f,APPROVED,Not Applicable,2024-03-20T18:52:10.514000Z,2024-03-20T19:07:12.977000Z,2024-03-21T15:01:24.426000Z,2024-03-20T19:07:13.511279Z,903.0,CIH2THBV,366,45,Female,White,United States,United States,United States,English,No,Full-Time
65fb305869d7c11b2fbb8daf,654281dc418a3f4f38c24932,APPROVED,Not Applicable,2024-03-20T18:52:12.534000Z,2024-03-20T19:02:58.528000Z,2024-03-21T15:01:24.897000Z,2024-03-20T19:02:59.074659Z,646.0,CIH2THBV,827,28,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
