participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.trust_choice,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,sbwnwmpl,63c515f70542e2ff1937031b,0,2,29,Consent_general,GeneralIntroPage,2024-03-20 15:12:37.645191,1,,,0.0,1,,0.0,,1,1,slvfalvu,,,,,0
2,m64jgstt,65b26bbe1d5dfa901eeb87c3,0,29,29,Thanks,MyPage,2024-03-20 15:15:56.657892,1,,,50.0,2,,0.0,4,1,1,slvfalvu,,,,,0
3,x8kwfjhx,6578810e89bb72246d6e92e8,0,29,29,Thanks,MyPage,2024-03-20 15:16:29.595174,1,,,200.0,3,,0.0,2,1,1,slvfalvu,,,,,0
4,g5li7med,645906dc264ac9eb66b7f3ec,0,4,29,Intro_ST,GameIntroPage,2024-03-20 15:17:38.963615,1,,,0.0,4,,0.0,,1,1,slvfalvu,,,,,0
5,hq6q6pg7,5fecd134b890b19cd8336b78,0,6,29,Intro_ST,TestPage,2024-03-20 15:18:15.093129,1,,,0.0,5,,0.0,,1,1,slvfalvu,,,,,0
6,ysz3qwz4,1JgEO773d260l59LD9695O67,0,1,29,Consent_general,ConsentPage,2024-03-20 15:18:17.842795,1,,,0.0,6,,0.0,,1,1,slvfalvu,,,,,0
7,ayky62qm,63d2d90dab88cd046129d697,0,29,29,Thanks,MyPage,2024-03-20 15:18:19.450135,1,,,150.0,7,,0.0,2,1,1,slvfalvu,,,,,0
8,lf0zvcrb,652ec2998754cc5da66b63f2,0,29,29,Thanks,MyPage,2024-03-20 15:18:33.100818,1,,,50.0,8,,0.0,5,1,1,slvfalvu,,,,,0
9,l4u1s077,138EO7731260lZ9LD96n56S7,0,1,29,Consent_general,ConsentPage,2024-03-20 15:18:34.218212,1,,,0.0,9,,0.0,,1,1,slvfalvu,,,,,0
10,pfedph4u,63d181019036d598f33bfe33,0,29,29,Thanks,MyPage,2024-03-20 15:18:53.739162,1,,,50.0,10,,0.0,1,1,1,slvfalvu,,,,,0
11,vp3mblvd,641724c665e2974bb1dec659,0,22,29,svo,Decide,2024-03-20 15:18:54.053436,1,,,100.0,11,,0.0,4,1,1,slvfalvu,,,,,0
12,3i9pv8fl,6547a05ca3b182bd3f2d9af8,0,29,29,Thanks,MyPage,2024-03-20 15:19:03.625835,1,,,150.0,12,,0.0,4,1,1,slvfalvu,,,,,0
13,b58w0ays,656e7a6cc1ef92f28a2c28ae,0,29,29,Thanks,MyPage,2024-03-20 15:19:34.253118,1,,,150.0,13,,0.0,2,1,1,slvfalvu,,,,,0
14,wl3pciy2,5c74e7e9c3fe130001e86cc8,0,29,29,Thanks,MyPage,2024-03-20 15:20:02.182382,1,,,100.0,14,,0.0,4,1,1,slvfalvu,,,,,0
15,lup8iyin,6466713f69508331b82d5040,0,29,29,Thanks,MyPage,2024-03-20 15:20:28.839266,1,,,200.0,15,,0.0,1,1,1,slvfalvu,,,,,0
16,x5vc8moj,5685850c333cbd000d4e042f,0,29,29,Thanks,MyPage,2024-03-20 15:20:43.447914,1,,,150.0,16,,0.0,4,1,1,slvfalvu,,,,,0
17,wql7dos4,5cbe00898f939c0017c0b9d8,0,29,29,Thanks,MyPage,2024-03-20 15:20:47.832205,1,,,150.0,17,,0.0,1,1,1,slvfalvu,,,,,0
18,14x8kpbi,65ef1b4257164ebb8e1db886,0,29,29,Thanks,MyPage,2024-03-20 15:20:49.397460,1,,,200.0,18,,0.0,5,1,1,slvfalvu,,,,,0
19,p5fryqxk,614f22dfa54d9361b45c3052,0,29,29,Thanks,MyPage,2024-03-20 15:20:49.690951,1,,,150.0,19,,0.0,4,1,1,slvfalvu,,,,,0
20,oo64yy28,592f1db78ad1ae0001937983,0,29,29,Thanks,MyPage,2024-03-20 15:20:49.763325,1,,,50.0,20,,0.0,2,1,1,slvfalvu,,,,,0
21,vuhsk4pz,6287a8c4a6303ff156cd0853,0,29,29,Thanks,MyPage,2024-03-20 15:20:51.495426,1,,,50.0,21,,0.0,4,1,1,slvfalvu,,,,,0
22,viylrbwi,5d88db42c1d06e001a1fdcab,0,29,29,Thanks,MyPage,2024-03-20 15:20:51.580942,1,,,100.0,22,,0.0,4,1,1,slvfalvu,,,,,0
23,ddsecusg,5bf311373a5bf00001401f64,0,29,29,Thanks,MyPage,2024-03-20 15:20:53.626497,1,,,50.0,23,,0.0,4,1,1,slvfalvu,,,,,0
24,mok2z1t9,63d1b0363f9bd5a6062dfb1c,0,29,29,Thanks,MyPage,2024-03-20 15:20:55.715121,1,,,200.0,24,,0.0,1,1,1,slvfalvu,,,,,0
25,2yzz7cn3,6159d4026fd4e22c9f1179c1,0,29,29,Thanks,MyPage,2024-03-20 15:20:57.784327,1,,,50.0,25,,0.0,3,1,1,slvfalvu,,,,,0
26,i6crb9mh,65edbf1bf8c56b00f9285258,0,29,29,Thanks,MyPage,2024-03-20 15:20:59.416820,1,,,50.0,26,,0.0,2,1,1,slvfalvu,,,,,0
27,4agu4nqw,63d4019999c9ab839156014c,0,29,29,Thanks,MyPage,2024-03-20 15:20:59.756994,1,,,200.0,27,,0.0,2,1,1,slvfalvu,,,,,0
28,uuo80fq3,55ca03e1fdf99b2735fc1dde,0,29,29,Thanks,MyPage,2024-03-20 15:21:00.589046,1,,,50.0,28,,0.0,4,1,1,slvfalvu,,,,,0
29,24iqt3mo,6129cc7a565c9c03752802fa,0,29,29,Thanks,MyPage,2024-03-20 15:21:01.318482,1,,,50.0,29,,0.0,5,1,1,slvfalvu,,,,,0
30,u7ozpr6i,56b8de29e1d0a200051517f8,0,29,29,Thanks,MyPage,2024-03-20 15:21:03.139349,1,,,150.0,30,,0.0,4,1,1,slvfalvu,,,,,0
31,85fbzx9f,6584461360db3318b8baee08,0,29,29,Thanks,MyPage,2024-03-20 15:21:03.679844,1,,,50.0,31,,0.0,1,1,1,slvfalvu,,,,,0
32,45acd0hi,56f9364e895094000c8f4967,0,29,29,Thanks,MyPage,2024-03-20 15:21:04.727325,1,,,100.0,32,,0.0,4,1,1,slvfalvu,,,,,0
33,xd4axacw,603d6ae665fbaacb5621ede2,0,29,29,Thanks,MyPage,2024-03-20 15:21:06.062789,1,,,150.0,33,,0.0,4,1,1,slvfalvu,,,,,0
34,bazs59tg,5d9be6d4d6e5640016b915df,0,29,29,Thanks,MyPage,2024-03-20 15:21:08.392576,1,,,150.0,34,,0.0,2,1,1,slvfalvu,,,,,0
35,noen80js,5ac5a9a9f69e940001d984b5,0,29,29,Thanks,MyPage,2024-03-20 15:21:08.474781,1,,,50.0,35,,0.0,1,1,1,slvfalvu,,,,,0
36,d9cuy7kn,55d35935da14d7001295326b,0,29,29,Thanks,MyPage,2024-03-20 15:21:08.689041,1,,,200.0,36,,0.0,2,1,1,slvfalvu,,,,,0
37,90aa45mg,5f7514ff19c40e188cc4f70c,0,29,29,Thanks,MyPage,2024-03-20 15:21:12.459415,1,,,50.0,37,,0.0,2,1,1,slvfalvu,,,,,0
38,nqjoiyps,596a4e2c2dcbae0001d961d2,0,29,29,Thanks,MyPage,2024-03-20 15:21:13.079068,1,,,100.0,38,,0.0,2,1,1,slvfalvu,,,,,0
39,gcvst1sk,5a47b7be2f91ec0001dcbfee,0,29,29,Thanks,MyPage,2024-03-20 15:21:13.093261,1,,,200.0,39,,0.0,2,1,1,slvfalvu,,,,,0
40,7p4x0yb6,6441a0b968ccfb017694a842,0,29,29,Thanks,MyPage,2024-03-20 15:21:13.330409,1,,,200.0,40,,0.0,2,1,1,slvfalvu,,,,,0
41,6ou6lh9g,60bd28cc95ab27d4f4f6ada3,0,29,29,Thanks,MyPage,2024-03-20 15:21:13.571520,1,,,150.0,41,,0.0,5,1,1,slvfalvu,,,,,0
42,yyeh3h26,65c17f809c893363dae6bc4a,0,29,29,Thanks,MyPage,2024-03-20 15:21:13.960994,1,,,100.0,42,,0.0,1,1,1,slvfalvu,,,,,0
43,xhe7waou,5c830a66d6a4d0000164097d,0,29,29,Thanks,MyPage,2024-03-20 15:21:14.564815,1,,,200.0,43,,0.0,1,1,1,slvfalvu,,,,,0
44,t7jmhpip,65675fc41f976fff5dcee21e,0,6,29,Intro_ST,TestPage,2024-03-20 15:21:16.417306,1,,,0.0,44,,0.0,,1,1,slvfalvu,,,,,0
45,mlpzo8sk,654455ad0b76675379c66db4,0,29,29,Thanks,MyPage,2024-03-20 15:21:16.832403,1,,,200.0,45,,0.0,1,1,1,slvfalvu,,,,,0
46,tfo7la26,65f7145087c460056a1a80da,0,29,29,Thanks,MyPage,2024-03-20 15:21:16.895842,1,,,100.0,46,,0.0,1,1,1,slvfalvu,,,,,0
47,xuqkg39m,5dd9f0e719eecb97dfab7b48,0,29,29,Thanks,MyPage,2024-03-20 15:21:17.227468,1,,,100.0,47,,0.0,4,1,1,slvfalvu,,,,,0
48,jptf5jgl,63f3727c6e41f63c9b2a6f1f,0,4,29,Intro_ST,GameIntroPage,2024-03-20 15:21:17.450889,1,,,0.0,48,,0.0,,1,1,slvfalvu,,,,,0
49,crr2m7bc,546e3778fdf99b2bc7ebcff6,0,29,29,Thanks,MyPage,2024-03-20 15:21:18.861358,1,,,200.0,49,,0.0,4,1,1,slvfalvu,,,,,0
50,xdrs4s5q,65d0c7b16a2da5193f3f3201,0,29,29,Thanks,MyPage,2024-03-20 15:21:19.560779,1,,,150.0,50,,0.0,4,1,1,slvfalvu,,,,,0
51,2iapla3r,62e097c92160176b0b9c2619,0,29,29,Thanks,MyPage,2024-03-20 15:21:20.175591,1,,,150.0,51,,0.0,2,1,1,slvfalvu,,,,,0
52,xvkqbho3,65675bf1cebf57f45586d9a2,0,4,29,Intro_ST,GameIntroPage,2024-03-20 15:21:20.550194,1,,,0.0,52,,0.0,,1,1,slvfalvu,,,,,0
53,sesv4uh2,657322bd0c81d1e8853d38e8,0,29,29,Thanks,MyPage,2024-03-20 15:21:21.849756,1,,,50.0,53,,0.0,5,1,1,slvfalvu,,,,,0
